timestamp,object,message
2026-08-07T15:14:00.312Z,vectra-ai/qdrant,| (_| | (_| | | | (_| | | | | |_  
2026-08-07T15:14:00.312Z,vectra-ai/qdrant," \__, |\__,_|_|  \__,_|_| |_|\__| "
2026-08-07T15:14:00.312Z,vectra-ai/qdrant,    |_|                           
2026-08-07T15:14:00.312Z,vectra-ai/qdrant,
2026-08-07T15:14:00.312Z,vectra-ai/qdrant,"Version: 1.18.3, build: db8fa43f"
2026-08-07T15:14:00.312Z,vectra-ai/qdrant,Access web UI at http://localhost:6333/dashboard
2026-08-07T15:14:00.312Z,vectra-ai/qdrant,Agentic Skills: https://skills.qdrant.tech/
2026-08-07T15:14:00.312Z,vectra-ai/qdrant,
2026-08-07T15:14:00.326Z,vectra-ai/qdrant,2026-08-07T15:14:00.325649Z  INFO storage::content_manager::consensus::persistent: Loading raft state from ./storage/raft_state.json
2026-08-07T15:14:00.356Z,vectra-ai/qdrant,2026-08-07T15:14:00.355656Z  INFO storage::content_manager::toc: Loading collection: vectra-kb
2026-08-07T15:14:00.722Z,vectra-ai/qdrant,2026-08-07T15:14:00.719776Z  INFO collection::shards::local_shard: Recovering shard ./storage/collections/vectra-kb/0: 0/1 (0%)
2026-08-07T15:14:00.841Z,vectra-ai/qdrant,2026-08-07T15:14:00.841252Z  INFO collection::shards::local_shard: Recovered collection vectra-kb: 1/1 (100%)
2026-08-07T15:14:00.851Z,vectra-ai/qdrant,2026-08-07T15:14:00.851252Z  INFO qdrant: Distributed mode disabled
2026-08-07T15:14:00.851Z,vectra-ai/qdrant,"2026-08-07T15:14:00.851359Z  INFO qdrant: Telemetry reporting enabled, id: 7db10fb8-fe0a-4c2b-a9b6-b4e8d6794881"
2026-08-07T15:14:01.041Z,vectra-ai/qdrant,"2026-08-07T15:14:01.041317Z  INFO qdrant::actix: REST transport settings: keep_alive=5s, client_request_timeout=5s, client_disconnect_timeout=5s"
2026-08-07T15:14:01.041Z,vectra-ai/qdrant,2026-08-07T15:14:01.041407Z  INFO qdrant::actix: TLS disabled for REST API
2026-08-07T15:14:01.042Z,vectra-ai/qdrant,2026-08-07T15:14:01.041834Z  INFO qdrant::actix: Qdrant HTTP listening on 6333
2026-08-07T15:14:01.042Z,vectra-ai/qdrant,2026-08-07T15:14:01.041921Z  INFO actix_server::builder: starting 15 workers
2026-08-07T15:14:01.042Z,vectra-ai/qdrant,2026-08-07T15:14:01.042021Z  INFO actix_server::server: Actix runtime found; starting in Actix runtime
2026-08-07T15:14:01.042Z,vectra-ai/qdrant,"2026-08-07T15:14:01.042052Z  INFO actix_server::server: starting service: ""actix-web-service-0.0.0.0:6333"", workers: 15, listening on: 0.0.0.0:6333"
2026-08-07T15:14:01.069Z,vectra-ai/qdrant,2026-08-07T15:14:01.069253Z  INFO qdrant::tonic: Qdrant gRPC listening on 6334
2026-08-07T15:14:01.069Z,vectra-ai/qdrant,2026-08-07T15:14:01.069288Z  INFO qdrant::tonic: TLS disabled for gRPC API
2026-08-07T15:14:17.324Z,vectra-ai/n8n,Last session crashed
